CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|FECHA_INICIO_LICENCIAMIENTO|FECHA_FIN_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|DEPARTAMENTO|PROVINCIA|DISTRITO|UBIGEO|LATITUD|LONGITUD|FECHA_CORTE
126|UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS|PÚBLICO|LICENCIA OTORGADA|20180705|20240705|6|LORETO|ALTO AMAZONAS|YURIMAGUAS|150201|-5.8974938|-76.1287268|20220817
127|UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA|PÚBLICO|LICENCIA OTORGADA|20181022|20241022|6|JUNÍN|TARMA|TARMA|110501|-11.42001656|-75.68925244|20220817
128|UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA|PÚBLICO|LICENCIA OTORGADA|20170421|20230421|6|AYACUCHO|HUANTA|HUANTA|050301|-12.9366062|-74.243975|20220817
132|UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA|PRIVADO|LICENCIA OTORGADA|20160323|20220323|6|LIMA|LIMA|BARRANCO|140125|-12.13510911|-77.0219533|20220817
133|UNIVERSIDAD LA SALLE|PRIVADO|LICENCIA OTORGADA|20180123|20240123|6|AREQUIPA|AREQUIPA|AREQUIPA|040101|-16.424163|-71.556192|20220817
136|UNIVERSIDAD MARÍA AUXILIADORA S.A.C.|PRIVADO|LICENCIA OTORGADA|20181022|20241022|6|LIMA|LIMA|SAN JUAN DE LURIGANCHO|140137|-11.97832447|-77.01679995|20220817
067|UNIVERSIDAD CONTINENTAL S.A.C.|PRIVADO|LICENCIA OTORGADA|20180814|20240814|6|JUNÍN|HUANCAYO|HUANCAYO|110101|-12.04773072|-75.19874451|20220817
088|UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR|PÚBLICO|LICENCIA OTORGADA|20180625|20240625|6|LIMA|LIMA|VILLA EL SALVADOR|140141|-12.2134138|-76.9326924|20220817
129|UNIVERSIDAD NACIONAL TECNOLÓGICA DE SAN JUAN DE LURIGANCHO|PÚBLICO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|||0|LIMA|LIMA|SAN JUAN DE LURIGANCHO|140137|-11.9835577|-77.0095209|20220817
130|UNIVERSIDAD AUTÓNOMA MUNICIPAL DE LOS OLIVOS|PÚBLICO|NINGUNO|||0|LIMA|LIMA|LOS OLIVOS|140142|-12.0003522|-77.0833903|20220817
138|UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO|PÚBLICO|LICENCIA OTORGADA|20190219|20250219|6|HUANCAVELICA|TAYACAJA|DANIEL HERNÁNDEZ|080509|-12.36081924|-74.83797557|20220817
139|UNIVERSIDAD NACIONAL CIRO ALEGRÍA|PÚBLICO|LICENCIA DENEGADA|||0|LA LIBERTAD|SÁNCHEZ CARRIÓN|HUAMACHUCO|120301|-7.812512994|-78.04537079|20220817
147|UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|LA MOLINA|140110|-12.0638224|-76.9601327|20220817
148|UNIVERSIDAD SEMINARIO BÍBLICO ANDINO|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|PUEBLO LIBRE|140117|-12.0696208|-77.0533978|20220817
003|UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO|PÚBLICO|LICENCIA OTORGADA|20190507|20270507|8|CUSCO|CUSCO|CUSCO|070101|-13.52193|-71.9583208|20220817
009|UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA|PÚBLICO|LICENCIA OTORGADA|20220114|20280114|6|ICA|ICA|ICA|100101|-14.0871322|-75.7335148|20220817
010|UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ|PÚBLICO|LICENCIA OTORGADA|20190304|20250304|6|JUNÍN|HUANCAYO|EL TAMBO|110113|-12.03251125|-75.23588361|20220817
013|UNIVERSIDAD NACIONAL DE PIURA|PÚBLICO|LICENCIA OTORGADA|20190508|20250508|6|PIURA|PIURA|CASTILLA|190103|-5.179311|-80.6188325|20220817
021|UNIVERSIDAD NACIONAL FEDERICO VILLARREAL|PÚBLICO|LICENCIA OTORGADA|20200311|20260311|6|LIMA|LIMA|LIMA|140101|-12.0475424|-77.0405694|20220817
022|UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA|PÚBLICO|LICENCIA OTORGADA|20190902|20250902|6|HUÁNUCO|LEONCIO PRADO|RUPA-RUPA|090601|-9.314010213|-75.99662598|20220817
023|UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO|PÚBLICO|LICENCIA OTORGADA|20190731|20250731|6|HUÁNUCO|HUÁNUCO|PILLCO MARCA|090111|-9.949638156|-76.25011821|20220817
024|UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|LINCE|140111|-12.0828451|-77.0345819|20220817
025|UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE|PÚBLICO|LICENCIA OTORGADA|20191213|20251213|6|LIMA|LIMA|LURIGANCHO|140112|-11.94648842|-76.70131631|20220817
026|UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN|PÚBLICO|LICENCIA OTORGADA|20190822|20250822|6|PASCO|PASCO|YANACANCHA|180114|-10.66848129|-76.25272318|20220817
027|UNIVERSIDAD NACIONAL DEL CALLAO|PÚBLICO|LICENCIA OTORGADA|20191224|20251224|6|CALLAO|PROV. CONST. DEL CALLAO|BELLAVISTA|240102|-12.06205068|-77.11740342|20220817
028|UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN|PÚBLICO|LICENCIA OTORGADA|20200128|20260128|6|LIMA|HUAURA|HUACHO|140501|-11.12206837|-77.60676911|20220817
031|UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO|PÚBLICO|LICENCIA DENEGADA|||0|LAMBAYEQUE|LAMBAYEQUE|LAMBAYEQUE|130301|-6.707069414|-79.90669663|20220817
034|UNIVERSIDAD NACIONAL DE SAN MARTÍN|PÚBLICO|LICENCIA OTORGADA|20190506|20250506|6|SAN MARTÍN|SAN MARTÍN|TARAPOTO|210601|-6.488771895|-76.35940358|20220817
036|UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ|PRIVADO|LICENCIA DENEGADA|||0|PUNO|SAN ROMÁN|JULIACA|200901|-15.532748|-70.118667|20220817
037|UNIVERSIDAD PERUANA LOS ANDES|PRIVADO|LICENCIA OTORGADA|20200218|20260218|6|JUNÍN|HUANCAYO|HUANCAYO|110101|-12.0400383|-75.1924434|20220817
040|UNIVERSIDAD TECNOLÓGICA DE LOS ANDES|PRIVADO|LICENCIA OTORGADA|20200229|20260301|6|APURÍMAC|ABANCAY|ABANCAY|030101|-13.6322998|-72.88715942|20220817
041|UNIVERSIDAD NACIONAL DE TUMBES|PÚBLICO|LICENCIA OTORGADA|20191203|20251203|6|TUMBES|TUMBES|TUMBES|230101|-3.585267|-80.443305|20220817
042|UNIVERSIDAD NACIONAL DEL SANTA|PÚBLICO|LICENCIA OTORGADA|20190314|20250314|6|ÁNCASH|SANTA|NUEVO CHIMBOTE|021309|-9.120895988|-78.5133409|20220817
044|UNIVERSIDAD PARTICULAR DE CHICLAYO|PRIVADO|LICENCIA DENEGADA|||0|LAMBAYEQUE|CHICLAYO|PIMENTEL|130110|-6.790111|-79.8783334|20220817
047|UNIVERSIDAD DE HUÁNUCO|PRIVADO|LICENCIA OTORGADA|20190607|20250607|6|HUÁNUCO|HUÁNUCO|HUANUCO|090101|-9.928390564|-76.2370196|20220817
051|UNIVERSIDAD NACIONAL DE HUANCAVELICA|PÚBLICO|LICENCIA OTORGADA|20190703|20250703|6|HUANCAVELICA|HUANCAVELICA|HUANCAVELICA|080101|-12.7781367|-74.9614392|20220817
052|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|PRIVADO|LICENCIA OTORGADA|20190611|20250611|6|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|120107|-8.1293904|-79.0433213|20220817
059|UNIVERSIDAD ALAS PERUANAS S.A.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|JESÚS MARÍA|140133|-12.08137781|-77.04667389|20220817
061|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|PRIVADO|LICENCIA OTORGADA|20191211|20251211|6|LIMA|LIMA|LIMA|140101|-12.06960333|-77.03698036|20220817
065|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|PRIVADO|LICENCIA OTORGADA|20190612|20250612|6|LIMA|LIMA|LIMA|140101|-12.0648091|-77.0363951|20220817
070|UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|-7.156522|-78.5145522|20220817
072|UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.|PRIVADO|LICENCIA OTORGADA|20200103|20260103|6|LAMBAYEQUE|CHICLAYO|PIMENTEL|130110|-6.795004696|-79.88523121|20220817
